Biomarkers,OR,p.value,lowerCI,upperCI,Data
Apolipoprotein B,1.263656440100657,1.501804360400056e-136,1.2405476967390434,1.2871549934339577,KNN
Apolipoprotein B,1.2552058947364317,1.0516823352736975e-127,1.2321398435448818,1.2786632054330664,Not-imputed
Cystatin C,1.186315886178751,5.089155032146868e-106,1.1683808937484292,1.2047034364094318,Not-imputed
LDL direct,1.228542097737503,6.127953702622746e-104,1.2058427985069387,1.2516299449335262,KNN
LDL direct,1.2285886933205024,1.0104315155829888e-103,1.205860375120492,1.2517065404804466,Not-imputed
Cystatin C,1.1808329112063907,5.691509250758368e-103,1.1632455373146098,1.1989458455376252,KNN
HbA1c ,1.1417622523327842,5.917102849586659e-84,1.1264945291204262,1.1570582707043002,KNN
HbA1c ,1.1427567900408864,1.8990670566829677e-80,1.1270391769220183,1.1585101915485756,Not-imputed
Cholesterol,1.196589132762335,6.666400884475702e-78,1.1742514382499465,1.2193097571877711,KNN
Cholesterol,1.1966145304707485,6.868272819659117e-78,1.1742718629531295,1.2193403087476082,Not-imputed
Albumin,0.8631930184776062,4.615074395583177e-50,0.8466277375577776,0.8800920222823274,KNN
Albumin,0.8611524665153173,2.5962454486433634e-47,0.8438674461078071,0.8787992678374621,Not-imputed
Urea,1.1243153541321893,2.0251641510551068e-44,1.1059131334518684,1.1428572674856847,KNN
Urea,1.1243208031599627,2.2011656427900865e-44,1.1059099610791026,1.142871485990312,Not-imputed
Triglycerides,1.1251466853077476,3.4351729389818504e-44,1.1065580719609163,1.1438560956791182,KNN
Triglycerides,1.1249523593312678,5.327141022574646e-44,1.1063524053062912,1.1436732431086236,Not-imputed
Alkaline phosphatase,1.1060776143284103,2.6447508481550713e-42,1.090038069025934,1.1221371915657368,KNN
Alkaline phosphatase,1.106079747907901,2.723964626349066e-42,1.0900372927198307,1.1221421647611847,Not-imputed
IGF 1,0.8717289702661114,5.911236363386102e-39,0.8539190334118281,0.8898534212425128,KNN
IGF 1,0.8721648652884975,1.8038069043511323e-38,0.8542946206506654,0.8903514638738869,Not-imputed
HDL cholesterol,0.8627624012427678,1.4611199692954917e-30,0.841258207787754,0.8847102975369798,KNN
HDL cholesterol,0.8589797217766151,2.5026291162080143e-29,0.8364602394799376,0.881992590651069,Not-imputed
Urate,1.12746335418232,1.2080410219402205e-25,1.1023906597467825,1.153046517486982,KNN
Urate,1.1274422450736494,1.3236822008422567e-25,1.102353386672114,1.1530423289580471,Not-imputed
Apolipoprotein A,0.8773792428266075,4.671997171198227e-25,0.855851456293181,0.8993723204344061,Not-imputed
Apolipoprotein A,0.8834368410557593,6.518330249939181e-25,0.8628243338018823,0.9044693834960413,KNN
Lipoprotein A,1.102171832689009,6.985262263587982e-21,1.0798932844119913,1.1247319496399433,Not-imputed
Glucose,1.0658999482513414,3.675748588387354e-20,1.0513070752348699,1.0803046276122574,KNN
Lipoprotein A,1.0871336215461997,1.4823521354397602e-19,1.0675523543708005,1.1069125014849204,KNN
Glucose,1.0679698835005993,1.733663624214206e-19,1.0526274054606162,1.08312207093859,Not-imputed
C reactive protein,1.0664666387730324,2.2261791988228837e-17,1.0504714352816975,1.082194450468607,KNN
C reactive protein,1.0665551159093476,2.2609814582689557e-17,1.050534462542038,1.0823077732092246,Not-imputed
Creatinine,1.0558750098496235,1.7775509230583747e-16,1.0423486832518543,1.0697465654853309,Not-imputed
Creatinine,1.055585135999241,2.134682291179911e-16,1.0420876936915784,1.0694129893888118,KNN
Direct bilirubin,0.9361836272583661,9.993152053085428e-10,0.9164104834953346,0.9560100105410378,KNN
Direct bilirubin,0.9417919354886174,1.8566881041658686e-7,0.9205972557750506,0.9630443752588309,Not-imputed
Vitamin D,0.9604353644230614,7.023937239988913e-5,0.9414717548829383,0.979705514038007,KNN
Gamma glutamyltransferase,1.0300707970099374,1.4794497314202451e-4,1.0140921241355285,1.0456233641045583,KNN
Vitamin D,0.9609542290214029,1.510287888766937e-4,0.9413228443625551,0.9809160871337089,Not-imputed
Gamma glutamyltransferase,1.0294680018123272,2.0638085687014573e-4,1.0134616935907992,1.04504604559794,Not-imputed
Total protein,0.9643361117731539,3.9115919780860497e-4,0.9451514584019199,0.9838693829783063,Not-imputed
Total protein,0.9675618126255232,7.529744584471044e-4,0.9491596883965953,0.9862819261383913,KNN
Total bilirubin,0.9711610222902871,0.004046428656850173,0.951802967528221,0.990553114137482,KNN
Total bilirubin,0.971805417803122,0.005043517567139038,0.9523991110409895,0.9912457435046738,Not-imputed
Alanine aminotransferase,0.9766529225371015,0.019911684810355525,0.9571653203308612,0.995997012483052,KNN
Alanine aminotransferase,0.9770262536929629,0.021839892350652656,0.9575575574538143,0.9963568607007625,Not-imputed
Phosphate,1.0187409570727486,0.05790211189862717,0.999374663309954,1.0384771874482837,KNN
Phosphate,1.018166771440928,0.07883032952388315,0.9979235778601796,1.0388129768623358,Not-imputed
Testosterone,1.012124347589337,0.5189677754033852,0.9756057159726732,1.0497510598323743,KNN
SHBG,1.0080155025454796,0.5541963526115541,0.9815536395653965,1.0348934524985582,Not-imputed
SHBG,1.0065120727528658,0.6129031876451386,0.981380584434871,1.032005664444023,KNN
Aspartate aminotransferase,1.0038548924559823,0.6739629199424548,0.985525579040076,1.021470685750808,Not-imputed
Aspartate aminotransferase,1.0037032313072605,0.6855090754040302,0.9854126846318726,1.0212847631902446,KNN
Testosterone,0.9955045631295131,0.8237217778946131,0.9566918700416838,1.0356311873953505,Not-imputed
Calcium,1.0019957554444745,0.838670067396318,0.9829254387347723,1.0213929117418454,KNN
Calcium,0.9998607403908721,0.9891433143049303,0.9799804219636847,1.0200991110166522,Not-imputed
